Cifras Oficiales de Población de los Municipios Españoles: Revisión del Padrón Municipal
Resumen por provincias
Población por provincias y sexo.
Unidades:   Personas

	Total																									Hombres																									Mujeres																									
	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	
37 Salamanca	329.245	330.119	331.473	333.603	335.985	339.395	342.459	345.548	350.564	352.986	353.619	354.608	353.404	351.326	353.110	352.414	350.984	348.271	347.120	350.209	349.733	351.128	349.550	""	353.020	159.929	160.364	161.065	162.273	163.613	165.379	167.061	168.950	171.489	172.584	172.934	173.512	172.878	171.572	172.393	171.944	171.092	169.851	169.208	170.644	170.357	171.077	170.152	""	172.071	169.316	169.755	170.408	171.330	172.372	174.016	175.398	176.598	179.075	180.402	180.685	181.096	180.526	179.754	180.717	180.470	179.892	178.420	177.912	179.565	179.376	180.051	179.398	""	180.949	
38 Santa Cruz de Tenerife	1.044.887	1.032.983	1.018.510	1.007.641	1.004.124	1.001.900	1.004.788	1.014.829	1.017.531	1.029.789	1.027.914	1.020.490	1.005.936	983.820	971.647	956.352	928.412	915.262	892.718	856.808	818.681	800.020	780.152	""	772.449	513.491	508.197	501.477	496.397	494.910	494.354	496.207	502.292	504.055	510.350	510.007	506.646	500.032	489.144	483.730	476.243	461.793	454.916	442.933	424.015	403.529	393.761	382.832	""	379.557	531.396	524.786	517.033	511.244	509.214	507.546	508.581	512.537	513.476	519.439	517.907	513.844	505.904	494.676	487.917	480.109	466.619	460.346	449.785	432.793	415.152	406.259	397.320	""	392.892	
40 Segovia	153.478	153.129	153.342	154.184	155.652	157.570	159.303	161.702	163.701	164.169	164.268	164.854	163.899	159.322	156.598	155.517	152.640	150.701	149.286	147.028	146.613	146.985	146.755	""	147.770	77.033	76.813	76.979	77.443	78.271	79.355	80.316	81.598	82.695	82.967	83.034	83.636	83.252	80.492	78.982	78.308	76.724	75.656	74.815	73.555	73.300	73.506	73.410	""	73.883	76.445	76.316	76.363	76.741	77.381	78.215	78.987	80.104	81.006	81.202	81.234	81.218	80.647	78.830	77.616	77.209	75.916	75.045	74.471	73.473	73.313	73.479	73.345	""	73.887	
41 Sevilla	1.950.219	1.942.389	1.939.887	1.939.527	1.939.775	1.941.480	1.941.355	1.942.155	1.938.974	1.928.962	1.917.097	1.900.224	1.875.462	1.849.268	1.835.077	1.813.908	1.792.420	1.782.862	1.758.720	1.747.441	1.734.917	1.725.482	1.714.845	""	1.705.320	952.695	949.212	948.699	948.817	949.432	950.587	950.883	951.597	950.413	945.766	940.416	932.941	921.256	907.853	900.967	890.627	880.133	875.013	862.811	856.878	850.274	846.224	840.910	""	836.478	997.524	993.177	991.188	990.710	990.343	990.893	990.472	990.558	988.561	983.196	976.681	967.283	954.206	941.415	934.110	923.281	912.287	907.849	895.909	890.563	884.643	879.258	873.935	""	868.842	
42 Soria	88.884	88.636	88.600	88.903	90.040	91.006	92.221	93.291	94.522	95.223	95.258	95.101	94.646	93.593	93.503	92.773	91.652	90.954	91.487	91.314	90.911	91.252	91.593	""	92.848	44.927	44.814	44.800	44.986	45.595	46.077	46.723	47.336	47.979	48.347	48.400	48.286	47.881	47.174	47.110	46.693	46.048	45.651	45.860	45.649	45.398	45.587	45.690	""	46.321	43.957	43.822	43.800	43.917	44.445	44.929	45.498	45.955	46.543	46.876	46.858	46.815	46.765	46.419	46.393	46.080	45.604	45.303	45.627	45.665	45.513	45.665	45.903	""	46.527	
43 Tarragona	816.772	804.664	795.902	791.693	792.299	795.101	800.962	810.178	814.199	811.401	808.420	803.301	788.895	757.795	730.466	704.907	674.144	654.149	631.156	612.086	598.533	588.499	580.245	""	574.676	408.142	401.258	396.661	394.905	395.737	397.730	401.634	407.451	410.461	409.732	409.041	407.904	402.024	385.081	370.676	356.897	339.607	328.991	316.447	305.689	297.745	292.693	288.339	""	284.930	408.630	403.406	399.241	396.788	396.562	397.371	399.328	402.727	403.738	401.669	399.379	395.397	386.871	372.714	359.790	348.010	334.537	325.158	314.709	306.397	300.788	295.806	291.906	""	289.746	
44 Teruel	134.176	134.137	134.572	135.562	136.977	138.932	140.365	142.183	143.728	144.607	145.277	146.751	146.324	144.046	142.160	141.091	139.333	138.686	137.342	136.233	136.473	136.849	136.840	""	138.211	67.975	67.927	68.060	68.684	69.504	70.605	71.449	72.529	73.478	74.008	74.563	75.733	75.777	74.262	73.069	72.273	71.073	70.641	69.682	68.877	68.900	69.032	68.995	""	69.530	66.201	66.210	66.512	66.878	67.473	68.327	68.916	69.654	70.250	70.599	70.714	71.018	70.547	69.784	69.091	68.818	68.260	68.045	67.660	67.356	67.573	67.817	67.845	""	68.681	
45 Toledo	703.772	694.844	687.391	686.841	688.672	693.371	699.136	706.407	711.228	707.242	697.959	689.635	670.203	639.621	615.618	598.256	578.060	563.099	546.538	536.131	527.965	523.459	519.664	""	515.880	353.548	349.090	345.532	345.528	346.672	349.553	352.949	357.149	360.472	358.536	354.101	350.578	341.277	323.992	310.832	301.563	290.395	282.453	273.893	268.082	263.194	260.884	258.829	""	256.792	350.224	345.754	341.859	341.313	342.000	343.818	346.187	349.258	350.756	348.706	343.858	339.057	328.926	315.629	304.786	296.693	287.665	280.646	272.645	268.049	264.771	262.575	260.835	""	259.088	
46 Valencia/València	2.591.875	2.565.124	2.547.986	2.540.707	2.544.264	2.543.315	2.548.898	2.566.474	2.580.792	2.578.719	2.581.147	2.575.362	2.543.209	2.486.483	2.463.592	2.416.628	2.358.919	2.320.297	2.267.503	2.227.170	2.201.200	2.187.633	2.172.796	""	2.172.840	1.269.466	1.256.350	1.248.927	1.246.025	1.249.773	1.250.165	1.253.758	1.264.620	1.274.240	1.274.365	1.277.726	1.276.238	1.261.081	1.230.628	1.220.105	1.193.569	1.162.145	1.141.901	1.113.300	1.090.165	1.074.701	1.067.747	1.060.156	""	1.059.657	1.322.409	1.308.774	1.299.059	1.294.682	1.294.491	1.293.150	1.295.140	1.301.854	1.306.552	1.304.354	1.303.421	1.299.124	1.282.128	1.255.855	1.243.487	1.223.059	1.196.774	1.178.396	1.154.203	1.137.005	1.126.499	1.119.886	1.112.640	""	1.113.183	
47 Valladolid	520.649	519.546	519.851	521.130	523.679	526.288	529.157	532.284	534.280	534.874	533.640	532.575	529.019	521.661	519.249	514.674	510.863	506.302	501.157	497.961	495.690	494.594	492.029	""	490.205	253.540	253.216	253.356	254.146	255.591	256.999	258.865	260.619	261.941	262.609	262.141	261.785	260.075	255.983	254.897	252.689	250.782	248.614	245.858	244.031	242.888	242.546	241.382	""	240.565	267.109	266.330	266.495	266.984	268.088	269.289	270.292	271.665	272.339	272.265	271.499	270.790	268.944	265.678	264.352	261.985	260.081	257.688	255.299	253.930	252.802	252.048	250.647	""	249.640	
49 Zamora	170.588	172.539	174.549	177.404	180.406	183.436	185.432	188.270	191.612	193.383	194.214	195.665	197.221	197.237	197.492	198.045	198.524	199.688	200.678	202.356	203.469	204.650	205.201	""	207.475	84.369	85.341	86.319	87.808	89.321	90.888	91.871	93.336	95.100	95.993	96.427	97.144	98.103	97.807	97.766	97.941	98.105	98.684	99.071	99.829	100.258	100.876	101.213	""	102.214	86.219	87.198	88.230	89.596	91.085	92.548	93.561	94.934	96.512	97.390	97.787	98.521	99.118	99.430	99.726	100.104	100.419	101.004	101.607	102.527	103.211	103.774	103.988	""	105.261	
50 Zaragoza	972.528	964.693	954.811	953.486	950.507	956.006	960.111	978.638	978.130	973.325	973.252	970.313	955.323	932.502	917.288	912.072	897.350	880.118	871.209	857.565	848.006	844.571	841.438	""	842.419	475.602	471.539	466.839	466.357	466.105	469.456	471.675	482.677	482.908	481.054	482.090	481.456	473.687	460.756	452.607	450.006	441.840	432.607	427.901	420.094	414.002	412.194	410.517	""	411.029	496.926	493.154	487.972	487.129	484.402	486.550	488.436	495.961	495.222	492.271	491.162	488.857	481.636	471.746	464.681	462.066	455.510	447.511	443.308	437.471	434.004	432.377	430.921	""	431.390	
51 Ceuta	84.202	84.777	85.144	84.959	84.519	84.263	84.963	84.180	84.018	82.376	80.579	78.674	77.389	76.603	75.861	75.276	74.654	74.931	76.152	75.694	75.241	73.704	72.117	""	68.796	42.542	42.912	43.177	43.034	42.846	42.757	43.354	43.060	42.948	42.165	41.269	40.118	39.385	38.913	38.581	38.315	38.113	38.395	39.195	38.884	38.497	37.115	36.102	""	34.229	41.660	41.865	41.967	41.925	41.673	41.506	41.609	41.120	41.070	40.211	39.310	38.556	38.004	37.690	37.280	36.961	36.541	36.536	36.957	36.810	36.744	36.589	36.015	""	34.567	
52 Melilla	87.076	86.487	86.384	86.120	86.026	85.584	84.509	83.679	80.802	78.476	76.034	73.460	71.448	69.440	66.871	65.488	68.016	68.463	69.184	68.789	66.263	56.929	60.108	""	59.576	44.162	43.894	43.765	43.629	43.768	43.593	43.075	43.017	41.569	40.256	38.819	37.244	36.336	35.208	33.962	33.322	34.455	34.737	35.178	35.027	33.976	28.952	30.569	""	29.647	42.914	42.593	42.619	42.491	42.258	41.991	41.434	40.662	39.233	38.220	37.215	36.216	35.112	34.232	32.909	32.166	33.561	33.726	34.006	33.762	32.287	27.977	29.539	""	29.929	
Notas:
Las cifras de 1996 están referidas a 1 de mayo y  las demás a 1 de enero.
No existen cifras a 1 de enero de 1997 porque no se realizó revisión del padrón para ese año
Fuente: 
