Cifras Oficiales de Población de los Municipios Españoles: Revisión del Padrón Municipal
Resumen por provincias
Población por provincias y sexo.
Unidades:   Personas

	Total																									Hombres																									Mujeres																									
	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	
08 Barcelona	5.743.402	5.664.579	5.609.350	5.576.037	5.542.680	5.523.922	5.523.784	5.540.925	5.552.050	5.529.099	5.511.147	5.487.935	5.416.447	5.332.513	5.309.404	5.226.354	5.117.885	5.052.666	4.906.117	4.804.606	4.736.277	4.706.325	4.666.271	""	4.628.277	2.804.316	2.762.689	2.733.466	2.718.621	2.704.771	2.696.360	2.699.040	2.711.403	2.722.394	2.715.628	2.710.304	2.703.137	2.668.359	2.623.719	2.615.776	2.571.514	2.512.246	2.479.347	2.398.899	2.337.968	2.299.291	2.283.548	2.261.746	""	2.246.945	2.939.086	2.901.890	2.875.884	2.857.416	2.837.909	2.827.562	2.824.744	2.829.522	2.829.656	2.813.471	2.800.843	2.784.798	2.748.088	2.708.794	2.693.628	2.654.840	2.605.639	2.573.319	2.507.218	2.466.638	2.436.986	2.422.777	2.404.525	""	2.381.332	
48 Bizkaia	1.159.443	1.152.651	1.149.628	1.148.302	1.147.576	1.148.775	1.151.905	1.156.447	1.158.439	1.155.772	1.153.724	1.152.658	1.146.421	1.141.457	1.139.863	1.136.181	1.132.861	1.133.428	1.133.444	1.132.616	1.132.729	1.137.418	1.137.594	""	1.140.026	559.798	556.212	554.879	554.289	554.342	554.832	556.772	559.573	561.134	560.178	559.359	559.174	556.095	553.355	553.501	552.297	550.836	551.266	551.288	550.802	550.880	553.548	553.761	""	555.274	599.645	596.439	594.749	594.013	593.234	593.943	595.133	596.874	597.305	595.594	594.365	593.484	590.326	588.102	586.362	583.884	582.025	582.162	582.156	581.814	581.849	583.870	583.833	""	584.752	
09 Burgos	357.650	356.958	357.070	358.171	360.995	364.002	366.900	371.248	374.970	375.657	374.826	375.563	373.672	365.972	363.874	361.021	356.437	355.205	352.723	349.810	347.240	347.218	346.355	""	350.074	178.578	178.230	178.337	178.919	180.418	182.142	183.882	186.638	189.124	189.652	189.454	190.271	189.675	184.713	183.355	181.610	178.943	178.140	176.770	175.237	173.695	173.729	173.195	""	175.247	179.072	178.728	178.733	179.252	180.577	181.860	183.018	184.610	185.846	186.005	185.372	185.292	183.997	181.259	180.519	179.411	177.494	177.065	175.953	174.573	173.545	173.489	173.160	""	174.827	
10 Cáceres	391.850	394.151	396.487	400.036	403.665	406.267	408.703	410.275	413.597	415.446	415.083	413.633	412.498	411.531	412.899	412.580	411.390	410.762	410.242	409.130	407.546	408.949	405.616	""	413.396	194.084	195.388	196.619	198.494	200.285	201.702	202.962	203.758	205.634	206.573	206.358	205.638	205.949	205.481	206.593	206.744	206.185	206.089	205.848	205.195	203.946	204.965	202.834	""	205.735	197.766	198.763	199.868	201.542	203.380	204.565	205.741	206.517	207.963	208.873	208.725	207.995	206.549	206.050	206.306	205.836	205.205	204.673	204.394	203.935	203.600	203.984	202.782	""	207.661	
11 Cádiz	1.244.049	1.240.155	1.238.714	1.239.435	1.239.889	1.240.284	1.240.175	1.238.492	1.245.164	1.243.519	1.236.739	1.230.594	1.220.467	1.207.343	1.194.062	1.180.817	1.164.374	1.155.724	1.140.793	1.131.346	1.125.105	1.119.802	1.107.484	""	1.105.762	613.561	611.791	611.357	612.191	612.858	613.094	613.340	612.770	616.686	615.865	612.833	609.984	608.616	601.832	594.647	587.700	578.939	573.992	566.033	561.330	557.963	555.684	549.120	""	548.263	630.488	628.364	627.357	627.244	627.031	627.190	626.835	625.722	628.478	627.654	623.906	620.610	611.851	605.511	599.415	593.117	585.435	581.732	574.760	570.016	567.142	564.118	558.364	""	557.499	
39 Cantabria	582.905	581.078	580.229	580.295	582.206	585.179	588.656	591.888	593.861	593.121	592.250	589.235	582.138	572.824	568.091	562.309	554.784	549.690	542.275	537.606	531.159	528.478	527.137	""	527.437	282.559	281.801	281.564	281.808	282.988	284.788	286.782	288.643	289.999	289.872	289.931	288.735	285.469	280.283	277.869	274.797	270.907	268.309	264.492	261.967	258.682	257.495	256.766	""	256.946	300.346	299.277	298.665	298.487	299.218	300.391	301.874	303.245	303.862	303.249	302.319	300.500	296.669	292.541	290.222	287.512	283.877	281.381	277.783	275.639	272.477	270.983	270.371	""	270.491	
12 Castellón/Castelló	585.590	579.962	576.898	575.470	579.245	582.327	587.508	601.699	604.564	604.344	604.274	602.301	594.915	573.282	559.761	543.432	527.345	518.239	501.237	485.173	474.385	467.895	461.712	""	456.727	290.799	288.077	286.359	285.467	287.802	289.720	292.804	300.992	302.927	302.855	303.490	303.460	299.829	288.079	281.340	272.714	264.099	259.437	250.410	241.143	235.070	231.578	228.231	""	225.406	294.791	291.885	290.539	290.003	291.443	292.607	294.704	300.707	301.637	301.489	300.784	298.841	295.086	285.203	278.421	270.718	263.246	258.802	250.827	244.030	239.315	236.317	233.481	""	231.321	
13 Ciudad Real	495.045	495.761	499.100	502.578	506.888	513.713	519.613	524.962	530.250	530.175	529.453	527.273	522.343	510.122	506.864	500.060	492.914	487.670	484.338	478.581	476.633	479.087	479.474	""	478.672	244.842	244.877	246.656	248.328	250.847	254.571	257.918	260.888	264.067	264.078	264.098	263.038	260.649	253.473	251.565	247.795	243.698	240.603	238.380	234.988	233.538	234.828	234.972	""	234.355	250.203	250.884	252.444	254.250	256.041	259.142	261.695	264.074	266.183	266.097	265.355	264.235	261.694	256.649	255.299	252.265	249.216	247.067	245.958	243.593	243.095	244.259	244.502	""	244.317	
14 Córdoba	781.451	782.979	785.240	788.219	791.610	795.611	799.402	802.422	804.498	805.857	805.108	803.998	798.822	792.182	788.287	784.376	779.870	775.944	771.131	769.625	769.237	768.676	767.175	""	761.401	382.886	383.790	385.085	386.736	388.470	390.559	392.644	394.189	395.300	395.858	395.570	395.225	392.658	389.173	386.939	384.749	382.213	379.989	377.328	376.511	376.308	376.237	375.244	""	372.249	398.565	399.189	400.155	401.483	403.140	405.052	406.758	408.233	409.198	409.999	409.538	408.773	406.164	403.009	401.348	399.627	397.657	395.955	393.803	393.114	392.929	392.439	391.931	""	389.152	
15 Coruña, A	1.121.815	1.119.596	1.119.351	1.120.294	1.122.799	1.127.196	1.132.735	1.138.161	1.143.911	1.147.124	1.146.458	1.145.488	1.139.121	1.132.792	1.129.141	1.126.707	1.121.344	1.120.814	1.111.886	1.108.002	1.108.419	1.108.980	1.106.325	""	1.110.302	537.781	536.470	536.637	537.311	538.878	541.292	544.075	547.079	550.009	551.476	551.318	550.841	548.037	544.352	542.260	541.189	538.764	538.469	533.914	532.039	531.744	532.943	531.769	""	533.921	584.034	583.126	582.714	582.983	583.921	585.904	588.660	591.082	593.902	595.648	595.140	594.647	591.084	588.440	586.881	585.518	582.580	582.345	577.972	575.963	576.675	576.037	574.556	""	576.381	
